sc,chosen,explain
李松坚,李松堅,"author's father's name; 松 stays 松 (the name), not 鬆"
比特币,比特幣,Bitcoin
万象城,萬象城,"MixC, the mall name; 万→萬"
关系,關係,relation/relationship; pins 係 (not the system-sense 系)
联系,聯繫,to contact; pins 繫 (not 系)
复制,複製,to copy; pins 複+製
制造,製造,to manufacture; pins 製 (not the system-sense 制)
老板,老闆,boss; pins 闆
防御,防禦,to defend; pins 禦 (not the imperial-sense 御)
凭借,憑藉,to rely on / by means of; pins 藉
发型,髮型,"hairstyle; pins 髮 (hair), not the emit-sense 發"
强奸,強姦,"rape; 奸→姦 (the illicit-sex sense, not the treacherous-sense 奸)"
注册,註冊,to register; 注→註
治愈,治癒,to cure/heal; 愈→癒
复式,複式,duplex (apartment); 复→複
向往,嚮往,to yearn for; 向→嚮
歇斯底里,歇斯底里,"hysteria (transliteration); keep 里, not the inside-sense 裏"
波托菲诺,波托菲諾,"Portofino (transliteration); 托, not the entrust-sense 託"
阿里,阿里,"Alibaba; keep 里, not 裏"
嘉里中心,嘉里中心,"Kerry Centre (Shanghai); keep 里, not 裏"
分钟,分鐘,"minute; 钟→鐘 (clock/time), not the surname-sense 鍾"
点钟,點鐘,o'clock; 钟→鐘
大冲,大涌,"Dachong, the Shenzhen Nanshan neighbourhood — for the place name (大冲村) ONLY; uses the Cantonese 涌 (waterway) glyph as in Hong Kong. Do NOT apply to a generic 大+冲 such as 重大冲突, where 冲 is 衝"
衬托,襯托,to set off / serve as a foil; 托 (not the entrust-sense 託)
烘托,烘托,to set off / accentuate (esp. atmosphere); 托 (not 託)
托付,託付,"to entrust; 托→託 — this is the default for 托, tabled here for clarity beside 襯托/烘托"
舍得,捨得,"willing to part with / give up; 舍→捨 (give-up sense, not the house-sense 舍)"
舍不得,捨不得,reluctant to part with; 舍→捨
征服,征服,to conquer; 征 (not the levy/sign-sense 徵). Caveat: could collide with 徵+服 (e.g. 象征服-); confirm the ² in context
蜂后,蜂后,"queen bee; 后 keeps the sovereign/queen sense, not the after-sense 後"
